LahmanID,Year,Team,Lg,Playoff,G,AB,R,H,2B,3B,HR,RBI,SH,SF,SB,CS,BB,IBB,HBP,SO,,,,CS,TB
davisge01,1892,CLV,NL,WS,3,6,0,1,0,0,0,0,,,0,,0,,,1,,,,,1
duffyhu01,1892,BSN,NL,WS,6,26,3,12,3,2,1,9,,,3,,1,,,0,,,,,22
ganzech01,1892,BSN,NL,WS,2,8,1,4,0,0,0,2,,,0,,1,,,0,,,,,4
kellyki01,1892,BSN,NL,WS,2,8,0,0,0,0,0,0,,,1,,0,,,2,,,,,0
longhe01,1892,BSN,NL,WS,6,27,4,6,0,0,0,1,,,2,,0,,,0,,,,,6
lowebo01,1892,BSN,NL,WS,6,23,2,3,0,0,0,0,,,1,,1,,,2,,,,,3
mcaleji01,1892,CLV,NL,WS,6,22,0,4,0,0,0,1,,,1,,2,,,2,,,,,4
mccarto01,1892,BSN,NL,WS,6,21,2,8,2,0,0,2,,,3,,6,,,1,,,,,10
mckeaed01,1892,CLV,NL,WS,6,25,2,11,0,0,0,6,,,0,,1,,,3,,,,,11
nashbi01,1892,BSN,NL,WS,6,24,3,4,0,0,0,4,,,2,,2,,,3,,,,,4
nichoki01,1892,BSN,NL,WS,2,7,1,2,0,0,0,2,,,1,,0,,,1,,,,,2
o'conja01,1892,CLV,NL,WS,6,22,1,3,0,0,0,0,,,0,,2,,,3,,,,,3
quinnjo02,1892,BSN,NL,WS,6,21,2,6,1,1,0,4,,,0,,1,,,2,,,,,9
staleha01,1892,BSN,NL,WS,1,4,0,0,0,0,0,0,,,0,,0,,,3,,,,,0
stiveja01,1892,BSN,NL,WS,3,12,3,3,1,1,0,1,,,0,,0,,,2,,,,,6
tebeapa01,1892,CLV,NL,WS,5,18,1,0,0,0,0,0,,,1,,0,,,2,,,,,0
tucketo01,1892,BSN,NL,WS,6,23,2,6,0,0,1,2,,,0,,0,,,1,,,,,9
virtuja01,1892,CLV,NL,WS,6,24,1,3,0,0,0,0,,,1,,2,,,5,,,,,3
youngcy01,1892,CLV,NL,WS,3,11,1,1,0,0,0,0,,,0,,0,,,5,,,,,1
zimmech01,1892,CLV,NL,WS,6,23,2,6,1,1,0,2,,,0,,0,,,3,,,,,9
beaumgi01,1903,PIT,NL,WS,8,34,6,9,0,1,0,1,,,2,,2,,,4,,,,,11
branski01,1903,PIT,NL,WS,8,29,3,6,0,2,0,1,,,1,,1,,,6,,,,,10
clarkfr01,1903,PIT,NL,WS,8,34,3,9,2,1,0,2,,,1,,1,,,5,,,,,13
colliji01,1903,BOS,AL,WS,8,36,5,9,1,2,0,1,,,3,,1,,,1,,,,,14
